"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"3D Systems","DDD","Strong Sell","Strong Sell","Neutral","Sell"
"Aarons","AAN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ABIOMED","ABMD","Strong Buy","Sell","Buy","Strong Buy"
"ACI Worldwide","ACIW","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Acxiom","ACXM","Buy","Neutral","Strong Buy","Strong Buy"
"Adtalem Education","ATGE","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Aecom Technology","ACM","Strong Buy","Strong Buy","Neutral","Neutral"
"AGCO","AGCO","Strong Buy","Strong Buy","Neutral","Neutral"
"Akorn","AKRX","Strong Buy","Strong Buy","Neutral","Strong Sell"
"Alexander&Baldwin","ALEX","Strong Buy","Strong Buy","Neutral","Strong Sell"
"Alexandria RE","ARE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Align","ALGN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Alleghany","Y","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Allegheny Technologies","ATI","Strong Sell","Sell","Strong Buy","Strong Buy"
"Allscripts","MDRX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AMC Networks","AMCX","Strong Buy","Neutral","Neutral","Strong Buy"
"AMD","AMD","Sell","Strong Buy","Strong Buy","Strong Buy"
"American Campus","ACC","Strong Buy","Neutral","Neutral","Neutral"
"American Eagle Outfitters","AEO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Financial","AFG","Neutral","Strong Buy","Strong Buy","Strong Buy"
"ANSYS","ANSS","Strong Buy","Sell","Strong Buy","Strong Buy"
"AO Smith","AOS","Neutral","Strong Sell","Strong Sell","Neutral"
"AptarGroup","ATR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Aqua America","WTR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Arris","ARRS","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Arrow Electronics","ARW","Neutral","Neutral","Neutral","Neutral"
"Ascena Retail","ASNA","Strong Buy","Strong Buy","Strong Buy","Buy"
"Ashland Global","ASH","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Aspen Insurance Holdings","AHL","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Associated Banc-Corp","ASB","Sell","Strong Sell","Neutral","Strong Buy"
"Atmos Energy","ATO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Avanos Medical","AVNS","Strong Buy","Strong Buy","Buy","Strong Buy"
"Avis","CAR","Strong Buy","Buy","Strong Sell","Strong Sell"
"Avnet","AVT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Avon Products","AVP","Strong Buy","Strong Buy","Strong Sell","Strong Sell"
"Bancorpsouth Bank","BXS","Strong Sell","Sell","Sell","Strong Buy"
"Bank of Hawaii","BOH","Strong Buy","Sell","Strong Sell","Neutral"
"Bank Ozk","OZK","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Belden","BDC","Neutral","Strong Buy","Strong Buy","Neutral"
"Bemis","BMS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Big Lots","BIG","Strong Buy","Strong Buy","Buy","Sell"
"Bio-Rad Labs","BIO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Bio-Techne","TECH","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Black Hills","BKH","Neutral","Neutral","Strong Buy","Buy"
"Boston Beer","SAM","Buy","Strong Sell","Buy","Strong Buy"
"Brinker","EAT","Strong Sell","Strong Sell","Sell","Strong Buy"
"Broadridge","BR","Strong Buy","Sell","Strong Buy","Strong Buy"
"Brown&Brown","BRO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Brunswick","BC","Neutral","Strong Sell","Neutral","Strong Buy"
"Cable One Inc","CABO","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Cabot Corp","CBT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cadence Design","CDNS","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Camden Property","CPT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Carlisle","CSL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Carpenter Technology","CRS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Carters","CRI","Strong Buy","Strong Sell","Sell","Buy"
"Caseys","CASY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Catalent Inc","CTLT","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Cathay","CATY","Strong Sell","Strong Buy","Buy","Strong Buy"
"CBOE Holdings","CBOE","Strong Sell","Strong Sell","Strong Sell","Neutral"
"CDK Global Holdings LLC","CDK","Buy","Strong Sell","Strong Sell","Neutral"
"Charles River Laboratories","CRL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Chemical","CHFC","Strong Sell","Neutral","Buy","Strong Buy"
"Chicos FAS","CHS","Strong Buy","Strong Buy","Neutral","Sell"
"Churchill Downs","CHDN","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Ciena Corp","CIEN","Buy","Strong Sell","Neutral","Strong Buy"
"Cinemark","CNK","Strong Buy","Neutral","Strong Sell","Strong Sell"
"Cirrus","CRUS","Strong Buy","Neutral","Buy","Strong Sell"
"Clean Harbors","CLH","Neutral","Strong Buy","Strong Buy","Strong Buy"
"CNO Financial","CNO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"CNX Resources","CNX","Neutral","Strong Sell","Sell","Neutral"
"Cognex","CGNX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Commerce Bancshares","CBSH","Buy","Strong Buy","Strong Buy","Strong Buy"
"Commercial Metals","CMC","Strong Sell","Strong Sell","Strong Sell","Buy"
"CommVault","CVLT","Buy","Sell","Neutral","Strong Buy"
"Compass Minerals","CMP","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Comscore","SCOR","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Convergys","CVG","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Copart","CPRT","Neutral","Sell","Strong Buy","Strong Buy"
"CoreCivic","CXW","Strong Sell","Strong Buy","Strong Buy","Neutral"
"CoreLogic","CLGX","Neutral","Strong Sell","Neutral","Strong Buy"
"Corporate Office Properties","OFC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cousins Properties","CUZ","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Cracker Barrel Old","CBRL","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Crane","CR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cree","CREE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cullen/Frost Bankers","CFR","Strong Sell","Neutral","Neutral","Strong Buy"
"Curtiss-Wright","CW","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cypress","CY","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Dana","DAN","Strong Buy","Neutral","Strong Sell","Sell"
"DCT Industrial","DCT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Dean Foods","DF","Neutral","Strong Sell","Neutral","Strong Sell"
"Deckers Outdoor","DECK","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Deluxe","DLX","Neutral","Strong Sell","Strong Sell","Strong Sell"
"Denbury Resources","DNR","Strong Sell","Strong Sell","Buy","Buy"
"Diamond Offshore Drilling","DO","Strong Sell","Strong Sell","Sell","Neutral"
"Dick’s Sporting Goods","DKS","Sell","Strong Sell","Strong Sell","Sell"
"Diebold","DBD","Sell","Strong Sell","Strong Sell","Strong Sell"
"Domino’s Pizza","DPZ","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Domtar Corporation","UFS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Donaldson","DCI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Douglas Emmett","DEI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Dril-Quip","DRQ","Strong Sell","Strong Sell","Neutral","Buy"
"Duke","DRE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Dunkin Brands","DNKN","Strong Buy","Neutral","Strong Buy","Strong Buy"
"DXC Technology","DXC","Strong Buy","Buy","Neutral","Strong Buy"
"Dycom Industries","DY","Neutral","Strong Sell","Strong Sell","Sell"
"Eagle Materials","EXP","Neutral","Strong Sell","Strong Sell","Neutral"
"East West Bancorp","EWBC","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Eaton Vance","EV","Neutral","Strong Sell","Strong Sell","Buy"
"Edgewell Personal Care","EPC","Strong Buy","Strong Buy","Buy","Strong Sell"
"Education RT","EDR","Strong Buy","Neutral","Strong Buy","Strong Buy"
"EMCOR","EME","Strong Sell","Strong Sell","Sell","Strong Buy"
"Energen","EGN","Buy","Strong Buy","Strong Buy","Strong Buy"
"Energizer","ENR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Enersys","ENS","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Ensco PLC","ESV","Sell","Strong Buy","Strong Buy","Buy"
"EPR Properties","EPR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Esterline","ESL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Everest","RE","Buy","Strong Sell","Strong Sell","Sell"
"Evergy","EVRG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"FactSet Research","FDS","Strong Buy","Neutral","Neutral","Strong Buy"
"Fair Isaac","FICO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Federated Investors B","FII","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"First American","FAF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"First Horizon National","FHN","Strong Buy","Strong Buy","Sell","Neutral"
"First Industrial RT","FR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Flowers Foods","FLO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"FNB","FNB","Neutral","Strong Sell","Strong Sell","Strong Sell"
"Fortinet","FTNT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Fossil","FOSL","Strong Buy","Strong Buy","Strong Buy","Buy"
"FTI Consulting","FCN","Buy","Strong Buy","Strong Buy","Strong Buy"
"Fulton","FULT","Strong Sell","Neutral","Buy","Neutral"
"GameStop Corp","GME","Strong Buy","Strong Buy","Neutral","Strong Sell"
"Gartner","IT","Strong Buy","Buy","Strong Buy","Strong Buy"
"Genesee&Wyoming","GWR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Gentex","GNTX","Strong Buy","Buy","Neutral","Strong Buy"
"Genworth","GNW","Strong Sell","Sell","Strong Buy","Neutral"
"Graco","GGG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Graham Holdings","GHC","Strong Buy","Sell","Strong Sell","Sell"
"Granite Construction","GVA","Strong Sell","Strong Sell","Strong Sell","Sell"
"Greif Bros","GEF","Strong Buy","Buy","Strong Sell","Neutral"
"Gulfport","GPOR","Strong Buy","Strong Sell","Neutral","Sell"
"Hancock Whitney","HWC","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Hawaiian Electric Industries","HE","Buy","Strong Buy","Strong Buy","Strong Buy"
"Healthcare RT","HR","Strong Buy","Strong Buy","Strong Buy","Buy"
"HealthSouth","EHC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Helen of Troy Ltd","HELE","Buy","Strong Buy","Strong Buy","Strong Buy"
"Herman Miller","MLHR","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Highwoods Properties","HIW","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Hill-Rom","HRC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"HNI","HNI","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"HollyFrontier","HFC","Strong Sell","Strong Sell","Buy","Strong Buy"
"Hospitality Properites","HPT","Strong Sell","Strong Sell","Buy","Neutral"
"Hubbell","HUBB","Strong Buy","Strong Buy","Strong Buy","Buy"
"Huntington Ingalls Industries","HII","Neutral","Strong Buy","Strong Buy","Strong Buy"
"IDACORP","IDA","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"IDEX","IEX","Neutral","Strong Buy","Strong Buy","Strong Buy"
"IDEXX Labs","IDXX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Ingredion","INGR","Strong Buy","Sell","Strong Sell","Strong Sell"
"Integrated Device","IDTI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"InterDigital","IDCC","Strong Sell","Strong Sell","Buy","Strong Buy"
"International Bancshares","IBOC","Buy","Strong Buy","Strong Buy","Strong Buy"
"International Speedway","ISCA","Strong Buy","Buy","Neutral","Strong Buy"
"IPG Photonics","IPGP","Neutral","Strong Sell","Strong Sell","Neutral"
"ITT","ITT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"j2 Global","JCOM","Sell","Strong Sell","Neutral","Strong Buy"
"Jabil Circuit","JBL","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Jack Henry&Associates","JKHY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Jack In The Box","JACK","Neutral","Buy","Sell","Sell"
"JC Penney","JCP","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"JetBlue","JBLU","Strong Buy","Strong Sell","Strong Sell","Strong Sell"
"John Wiley&Sons","JWa","Buy","Strong Sell","Sell","Strong Buy"
