"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"3M","MMM","2.54M","121.60B","32.83B","23.46","1.16"
"Abbott Labs","ABT","5.17M","114.36B","29.58B","49.89","1.5"
"AbbVie","ABBV","8.42M","153.18B","30.95B","22.45","1.54"
"Accenture","ACN","2.16M","108.09B","40.60B","24.16","0.94"
"Activision Blizzard","ATVI","6.45M","54.29B","7.27B","48.03","0.9"
"Acuity Brands","AYI","897.04K","5.48B","3.58B","18.87","1.39"
"Adobe","ADBE","2.70M","124.02B","8.12B","52.83","1.1"
"ADP","ADP","1.81M","59.14B","13.33B","36.71","0.92"
"Advance Auto Parts","AAP","973.74K","10.71B","9.36B","27.81","1.13"
"Aetna","AET","1.90M","61.73B","60.77B","17.3","0.65"
"Affiliated Managers","AMG","479.05K","8.26B","2.37B","16.77","1.55"
"Aflac","AFL","3.00M","36.07B","21.99B","12.56","0.95"
"Agilent Technologies","A","2.73M","21.03B","4.72B","27.82","1.38"
"AIG","AIG","5.09M","48.16B","48.85B","161.24","1.33"
"Air Products","APD","1.02M","35.06B","8.83B","20.95","1.09"
"Akamai","AKAM","2.36M","12.73B","2.62B","63.27","0.52"
"Alaska Air","ALK","2.07M","7.74B","8.07B","13.99","0.54"
"Albemarle","ALB","1.49M","10.26B","3.17B","18.82","1.72"
"Alexandria RE","ARE","684.10K","13.48B","1.23B","46.36","0.75"
"Alexion","ALXN","1.95M","27.56B","3.74B","","0.91"
"Align","ALGN","1.16M","29.14B","1.73B","87.61","1.53"
"Allegion PLC","ALLE","717.65K","7.76B","2.55B","23.17","1.06"
"Allergan","AGN","2.24M","63.04B","16.16B","","1.2"
"Alliance Data Systems","ADS","544.38K","12.61B","7.81B","15.4","1.76"
"Alliant Energy","LNT","1.47M","9.90B","3.50B","20.44","0.23"
"Allstate","ALL","1.85M","34.46B","39.41B","12.07","0.9"
"Alphabet A","GOOGL","1.96M","856.30B","123.90B","33.25","1.13"
"Alphabet C","GOOG","1.69M","856.30B","123.90B","33.25","1.13"
"Altria","MO","7.62M","112.60B","25.24B","15.55","0.66"
"Amazon.com","AMZN","5.17M","889.29B","208.13B","165.6","1.58"
"AMD","AMD","60.43M","17.92B","6.53B","","3.03"
"Ameren","AEE","1.53M","15.22B","6.27B","19.77","0.24"
"American Airlines","AAL","4.93M","17.99B","43.52B","7.44","0.99"
"American Electric Power","AEP","3.11M","35.06B","15.98B","18.46","0.08"
"American Express","AXP","3.43M","86.79B","54.54B","14.78","1.16"
"American Tower","AMT","2.07M","66.69B","6.91B","61.01","0.85"
"American Water Works","AWK","774.60K","16.09B","3.37B","26.46","0.12"
