"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"Expeditors Washington","EXPD","Buy","Strong Buy","Strong Buy","Strong Buy"
"Express Scripts","ESRX","Strong Sell","Strong Sell","Buy","Strong Buy"
"Extra Space Storage","EXR","Neutral","Strong Sell","Sell","Strong Buy"
"Exxon Mobil","XOM","Neutral","Strong Sell","Neutral","Strong Sell"
"F5 Networks","FFIV","Neutral","Sell","Strong Buy","Strong Buy"
"Facebook","FB","Strong Buy","Strong Sell","Sell","Buy"
"Fastenal","FAST","Sell","Buy","Strong Buy","Strong Buy"
"Federal Realty","FRT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"FedEx","FDX","Strong Buy","Strong Buy","Neutral","Strong Buy"
"Fidelity National Info","FIS","Buy","Strong Sell","Buy","Strong Buy"
"Fifth Third","FITB","Strong Sell","Neutral","Sell","Buy"
"FirstEnergy","FE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Fiserv","FISV","Strong Buy","Neutral","Strong Buy","Strong Buy"
"FLIR Systems","FLIR","Sell","Strong Buy","Strong Buy","Strong Buy"
"Flowserve","FLS","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Fluor","FLR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"FMC","FMC","Neutral","Neutral","Buy","Strong Buy"
"Foot Locker","FL","Strong Sell","Strong Sell","Strong Sell","Sell"
"Ford Motor","F","Strong Buy","Strong Sell","Strong Sell","Strong Sell"
"Fortive","FTV","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Fortune Brands","FBHS","Strong Buy","Strong Buy","Buy","Neutral"
"Fox Inc","FOX","Buy","Neutral","Strong Buy","Strong Buy"
"Franklin Resources","BEN","Sell","Strong Sell","Strong Sell","Strong Sell"
"Freeport-McMoran","FCX","Neutral","Strong Sell","Strong Sell","Sell"
"Gap","GPS","Strong Buy","Buy","Neutral","Buy"
"Garmin Ltd","GRMN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Gartner","IT","Strong Buy","Buy","Strong Buy","Strong Buy"
"General Dynamics","GD","Sell","Strong Sell","Strong Sell","Sell"
"General Electric","GE","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"General Mills","GIS","Strong Buy","Strong Buy","Buy","Strong Sell"
"General Motors","GM","Strong Buy","Strong Sell","Strong Sell","Neutral"
"Genuine Parts","GPC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"GGP","GGP","Strong Buy","Strong Buy","Strong Buy","Sell"
"Gilead","GILD","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Global Payments","GPN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Goldman Sachs","GS","Strong Sell","Neutral","Neutral","Neutral"
"H&R Block","HRB","Strong Buy","Strong Buy","Sell","Strong Sell"
"Halliburton","HAL","Sell","Sell","Strong Sell","Strong Sell"
"Hanesbrands","HBI","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Harley-Davidson","HOG","Strong Buy","Strong Buy","Neutral","Strong Sell"
"Harris","HRS","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Hartford","HIG","Strong Buy","Neutral","Neutral","Neutral"
"Hasbro","HAS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"HCA","HCA","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"HCP","HCP","Strong Buy","Strong Buy","Strong Buy","Sell"
"Helmerich&Payne","HP","Strong Sell","Neutral","Strong Sell","Neutral"
"Henry Schein","HSIC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Hershey","HSY","Strong Buy","Strong Buy","Buy","Neutral"
"Hess","HES","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Hewlett Packard","HPE","Strong Buy","Strong Buy","Neutral","Neutral"
"Hilton Worldwide","HLT","Strong Sell","Strong Sell","Sell","Strong Buy"
"Hologic","HOLX","Neutral","Buy","Strong Buy","Strong Buy"
"Home Depot","HD","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Honeywell","HON","Sell","Strong Buy","Strong Buy","Strong Buy"
"Hormel Foods","HRL","Strong Buy","Buy","Strong Buy","Strong Buy"
"Host Hotels Resorts","HST","Neutral","Strong Buy","Strong Buy","Strong Buy"
"HP Inc","HPQ","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Humana","HUM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Huntington Bancshares","HBAN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"IBM","IBM","Strong Buy","Strong Buy","Neutral","Strong Sell"
"ICE","ICE","Strong Sell","Strong Sell","Neutral","Strong Buy"
"IDEXX Labs","IDXX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"IFF","IFF","Strong Buy","Strong Buy","Strong Buy","Neutral"
"IHS Markit Ltd","INFO","Strong Sell","Buy","Strong Buy","Strong Buy"
"Illinois Tool Works","ITW","Neutral","Strong Sell","Strong Sell","Sell"
"Illumina Inc","ILMN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Incyte","INCY","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Ingersoll-Rand","IR","Buy","Strong Buy","Strong Buy","Strong Buy"
"Intel","INTC","Strong Buy","Strong Sell","Sell","Strong Buy"
"International Paper","IP","Buy","Neutral","Strong Sell","Neutral"
"Intuit","INTU","Neutral","Strong Sell","Strong Buy","Strong Buy"
"Intuitive Surgical","ISRG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Invesco","IVZ","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"IPG","IPG","Strong Sell","Strong Sell","Strong Sell","Neutral"
"IPG Photonics","IPGP","Neutral","Strong Sell","Strong Sell","Neutral"
"Iron Mountain","IRM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"J&J","JNJ","Buy","Strong Buy","Strong Buy","Strong Buy"
"Jacobs Engineering","JEC","Neutral","Strong Buy","Strong Buy","Strong Buy"
"JB Hunt","JBHT","Neutral","Neutral","Sell","Strong Buy"
"Jefferies Financial","JEF","Strong Buy","Strong Buy","Strong Buy","Neutral"
"JM Smucker","SJM","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Johnson Controls","JCI","Strong Buy","Strong Buy","Strong Buy","Neutral"
"JPMorgan","JPM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Juniper","JNPR","Buy","Strong Sell","Neutral","Sell"
"Kansas City Southern","KSU","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Kellogg","K","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Keurig Dr Pepper","KDP","Neutral","Neutral","Strong Buy","Strong Buy"
"KeyCorp","KEY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Kimberly-Clark","KMB","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Kimco","KIM","Strong Buy","Strong Buy","Strong Buy","Sell"
"Kinder Morgan","KMI","Strong Sell","Sell","Neutral","Strong Sell"
"KLA-Tencor","KLAC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Kohl’s","KSS","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Kraft Heinz","KHC","Strong Buy","Strong Buy","Neutral","Sell"
"Kroger","KR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"L Brands","LB","Strong Buy","Neutral","Strong Sell","Strong Sell"
"L3 Tech","LLL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Laboratory of America","LH","Strong Buy","Neutral","Buy","Strong Buy"
"Lam Research","LRCX","Strong Buy","Strong Buy","Strong Buy","Buy"
"Leggett&Platt","LEG","Strong Buy","Strong Sell","Neutral","Sell"
"Lennar","LEN","Neutral","Strong Sell","Strong Sell","Neutral"
"Lincoln National","LNC","Strong Buy","Neutral","Sell","Sell"
"LKQ","LKQ","Strong Buy","Strong Sell","Neutral","Neutral"
"Lockheed Martin","LMT","Strong Sell","Neutral","Strong Buy","Buy"
"Loews","L","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Lowe’s","LOW","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"LyondellBasell Industries","LYB","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"M&T Bank","MTB","Strong Buy","Strong Buy","Neutral","Buy"
"Macerich","MAC","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Macy’s Inc","M","Strong Buy","Buy","Strong Buy","Strong Buy"
"Marathon Oil","MRO","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Marathon Petroleum","MPC","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Marriott Int","MAR","Sell","Strong Sell","Strong Sell","Strong Buy"
"Marsh McLennan","MMC","Neutral","Strong Sell","Buy","Strong Buy"
"Martin Marietta Materials","MLM","Strong Buy","Strong Sell","Strong Sell","Neutral"
"Masco","MAS","Neutral","Strong Buy","Strong Buy","Buy"
"Mastercard","MA","Neutral","Neutral","Strong Buy","Strong Buy"
"Mattel","MAT","Neutral","Sell","Neutral","Strong Sell"
"McCormick&Co","MKC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"McDonald’s","MCD","Buy","Strong Sell","Strong Sell","Neutral"
"McKesson","MCK","Strong Buy","Strong Sell","Strong Sell","Strong Sell"
"Medtronic","MDT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Merck&Co","MRK","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"MetLife","MET","Sell","Neutral","Sell","Strong Sell"
"Mettler-Toledo","MTD","Strong Sell","Strong Sell","Strong Buy","Neutral"
"MGM","MGM","Strong Sell","Strong Sell","Strong Sell","Sell"
"Michael Kors","KORS","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Microchip","MCHP","Strong Buy","Strong Buy","Buy","Strong Buy"
"Micron","MU","Neutral","Strong Sell","Sell","Strong Buy"
"Microsoft","MSFT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Mid-America Apartment","MAA","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Mohawk Industries","MHK","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Molson Coors Brewing B","TAP","Strong Buy","Strong Buy","Neutral","Strong Sell"
"Mondelez","MDLZ","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Monster Beverage 1990","MNST","Strong Sell","Sell","Strong Buy","Neutral"
"Moodys","MCO","Neutral","Strong Sell","Buy","Strong Buy"
"Morgan Stanley","MS","Strong Sell","Strong Sell","Sell","Buy"
"Mosaic","MOS","Strong Buy","Strong Buy","Strong Buy","Buy"
"Motorola","MSI","Strong Sell","Sell","Strong Buy","Strong Buy"
"Mylan","MYL","Strong Buy","Strong Buy","Sell","Neutral"
"Nasdaq Inc","NDAQ","Sell","Strong Sell","Strong Buy","Strong Buy"
"National Oilwell Varco","NOV","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Navient","NAVI","Neutral","Strong Sell","Strong Sell","Strong Sell"
"NetApp","NTAP","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Netflix","NFLX","Neutral","Strong Sell","Neutral","Strong Buy"
"Newell Brands","NWL","Strong Buy","Buy","Neutral","Strong Sell"
"Newfield Exploration","NFX","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Newmont Mining","NEM","Sell","Strong Sell","Strong Sell","Sell"
"News Corp","NWS","Strong Buy","Strong Sell","Strong Sell","Neutral"
"News Corp A","NWSA","Buy","Strong Sell","Strong Sell","Neutral"
"NextEra Energy","NEE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Nielsen Holdings","NLSN","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Nike","NKE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"NiSource","NI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Noble Energy","NBL","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Nordstrom","JWN","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Norfolk Southern","NSC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Northern Trust","NTRS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Northrop Grumman","NOC","Strong Sell","Strong Sell","Strong Sell","Buy"
"Norwegian Cruise Line","NCLH","Strong Buy","Neutral","Strong Sell","Sell"
"NRG","NRG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
