"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"Synopsys","SNPS","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Sysco","SYY","Neutral","Neutral","Strong Buy","Strong Buy"
"T Rowe","TROW","Neutral","Strong Sell","Neutral","Strong Buy"
"Tapestry","TPR","Neutral","Strong Sell","Neutral","Buy"
"Target","TGT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"TE Connectivity","TEL","Strong Buy","Sell","Sell","Buy"
"TechnipFMC","FTI","Strong Sell","Neutral","Sell","Buy"
"Texas Instruments","TXN","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Textron","TXT","Sell","Neutral","Strong Buy","Strong Buy"
"The AES","AES","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"The Charles Schwab","SCHW","Strong Sell","Strong Sell","Strong Sell","Strong Buy"
"The Goodyear Tire&Rubber","GT","Strong Buy","Strong Buy","Strong Sell","Strong Sell"
"The Travelers","TRV","Strong Buy","Strong Buy","Neutral","Neutral"
"Thermo Fisher Scientific","TMO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Tiffany&Co","TIF","Strong Sell","Buy","Strong Buy","Strong Buy"
"TJX","TJX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Torchmark","TMK","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Total System Services","TSS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Tractor Supply","TSCO","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Transdigm","TDG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"TripAdvisor","TRIP","Neutral","Strong Sell","Buy","Strong Buy"
"Twenty-First Century Fox A","FOXA","Buy","Neutral","Strong Buy","Strong Buy"
"Tyson Foods","TSN","Neutral","Strong Sell","Strong Sell","Strong Sell"
"Ulta Beauty","ULTA","Strong Sell","Strong Sell","Sell","Buy"
"Under Armour A","UAA","Sell","Strong Sell","Strong Sell","Neutral"
"Under Armour C","UA","Neutral","Strong Sell","Sell","Buy"
"Union Pacific","UNP","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"United Continental","UAL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"United Dominion","UDR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"United Parcel Service","UPS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"United Rentals","URI","Strong Buy","Strong Sell","Strong Sell","Buy"
"United Technologies","UTX","Sell","Strong Buy","Strong Buy","Strong Buy"
"UnitedHealth","UNH","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Universal Health Services","UHS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Unum","UNM","Sell","Strong Sell","Strong Sell","Strong Sell"
