"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"Berkshire Hathaway B","BRKb","1.10%","1.16%","6.79%","1.02%","11.29%","39.54%"
"Best Buy","BBY","0.21%","1.87%","3.17%","11.11%","26.21%","140.99%"
"Biogen Inc","BIIB","-1.07%","1.12%","15.19%","8.05%","19.41%","2.62%"
"BlackRock","BLK","1.49%","-4.08%","-1.95%","-6.09%","13.10%","44.13%"
"Boeing","BA","-0.37%","-3.39%","4.58%","18.15%","46.58%","140.39%"
"Booking","BKNG","-0.17%","-2.65%","-1.91%","16.80%","-0.15%","50.21%"
"BorgWarner","BWA","1.50%","-1.07%","2.42%","-11.31%","-2.93%","-5.13%"
"Boston Properties","BXP","0.16%","5.07%","2.40%","-0.72%","3.93%","7.48%"
"Boston Scientific","BSX","0.45%","-0.71%","0.93%","35.26%","24.97%","89.76%"
"Brighthouse Financial","BHF","1.30%","3.64%","5.70%","-25.32%","-32.18%","-"
"Bristol-Myers Squibb","BMY","-0.19%","3.94%","5.74%","-3.46%","5.74%","-9.07%"
"Broadcom","AVGO","0.67%","-1.47%","-11.24%","-15.22%","-12.59%","74.60%"
"Brown Forman","BFb","1.56%","0.67%","6.81%","-1.73%","39.08%","-2.44%"
"CA","CA","0.11%","0.25%","20.87%","32.45%","37.79%","50.96%"
"Cabot Oil&Gas","COG","1.60%","2.81%","0.04%","-18.01%","-5.10%","-7.39%"
"Cadence Design","CDNS","0.16%","-1.04%","0.70%","7.05%","23.67%","112.18%"
"Campbell Soup","CPB","2.52%","4.45%","3.06%","-11.12%","-19.59%","-14.48%"
"Capital One Financial","COF","1.37%","2.34%","4.34%","-2.91%","14.54%","18.10%"
"Cardinal Health","CAH","0.64%","1.99%","0.52%","-17.90%","-27.25%","-41.69%"
"CarMax","KMX","1.90%","-0.17%","-1.87%","16.47%","13.65%","15.32%"
"Carnival","CCL","0.34%","1.43%","3.80%","-11.03%","-12.92%","12.20%"
"Caterpillar","CAT","0.36%","-2.84%","1.99%","-12.10%","21.13%","80.16%"
"CBOE Holdings","CBOE","-1.22%","-7.38%","-8.07%","-24.05%","1.21%","50.16%"
"CBRE A","CBRE","0.36%","-0.94%","2.72%","14.29%","32.64%","30.26%"
"CBS","CBS","0.83%","-1.57%","-6.57%","-9.90%","-16.44%","5.43%"
"Celgene","CELG","-0.12%","4.64%","12.50%","-13.34%","-33.84%","-31.86%"
"Centene","CNC","-0.20%","2.08%","5.34%","33.65%","63.67%","88.68%"
"CenterPoint Energy","CNP","-0.50%","-0.67%","0.79%","-1.38%","-2.00%","46.90%"
"CenturyLink","CTL","0.53%","2.50%","-2.84%","12.89%","-16.20%","-34.07%"
"Cerner","CERN","6.16%","9.36%","6.62%","-0.80%","5.98%","-0.67%"
"CF Industries","CF","-0.87%","10.27%","13.98%","15.35%","52.34%","-20.37%"
"CH Robinson","CHRW","0.38%","4.75%","13.50%","7.52%","42.50%","36.24%"
"Charter Communications","CHTR","3.22%","6.07%","2.53%","-9.61%","-21.05%","45.62%"
"Chesapeake Energy","CHK","1.13%","1.13%","-15.37%","12.63%","-1.55%","-36.56%"
"Chevron","CVX","0.23%","-1.52%","0.06%","-0.91%","12.66%","47.63%"
"Chipotle Mexican Grill","CMG","0.63%","-1.91%","3.40%","60.28%","34.45%","-38.86%"
"Chubb","CB","0.85%","0.67%","8.23%","-5.01%","-7.34%","24.91%"
"Church&Dwight","CHD","0.67%","3.27%","5.27%","13.95%","13.46%","27.78%"
"Cigna","CI","0.19%","6.77%","10.04%","-6.81%","9.68%","28.26%"
"Cimarex Energy","XEC","-2.18%","-5.03%","-4.62%","-22.93%","0.03%","-13.03%"
"Cincinnati Financial","CINF","0.39%","1.48%","11.91%","0.76%","-5.93%","37.02%"
