"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"Microchip","MCHP","0.51%","-0.23%","3.21%","8.20%","13.89%","116.95%"
"Micron","MU","-1.10%","-2.13%","-0.06%","28.43%","89.15%","179.27%"
"Microsoft","MSFT","0.44%","0.33%","8.30%","26.30%","48.65%","127.07%"
"Mid-America Apartment","MAA","1.94%","3.23%","2.21%","1.28%","-1.84%","27.79%"
"Mohawk Industries","MHK","0.10%","1.94%","-14.19%","-32.36%","-25.62%","-7.97%"
"Molson Coors Brewing B","TAP","0.54%","7.65%","-0.72%","-15.68%","-23.54%","-1.72%"
"Mondelez","MDLZ","1.39%","2.00%","4.54%","2.24%","0.64%","-5.47%"
"Monster Beverage 1990","MNST","-0.15%","-2.26%","2.81%","-6.37%","12.43%","-61.52%"
"Moodys","MCO","0.46%","-2.22%","0.95%","16.98%","33.56%","54.45%"
"Morgan Stanley","MS","0.20%","-2.23%","6.87%","-4.88%","3.81%","27.97%"
"Mosaic","MOS","1.20%","2.25%","9.53%","18.67%","34.85%","-31.70%"
"Motorola","MSI","-3.17%","-4.68%","0.16%","30.25%","30.21%","83.74%"
"Mylan","MYL","5.28%","6.16%","5.98%","-9.12%","16.80%","-29.58%"
"Nasdaq Inc","NDAQ","-0.28%","-4.38%","1.28%","19.08%","21.81%","74.37%"
"National Oilwell Varco","NOV","-0.74%","0.26%","7.92%","30.57%","41.74%","16.47%"
"Navient","NAVI","-0.08%","-0.60%","0.53%","-0.83%","-7.43%","-15.37%"
"NetApp","NTAP","1.39%","2.81%","5.01%","47.65%","91.11%","164.59%"
"Netflix","NFLX","-0.41%","-3.41%","-13.88%","78.73%","90.32%","177.33%"
"Newell Brands","NWL","0.19%","2.07%","-2.14%","-14.01%","-47.58%","-39.63%"
"Newfield Exploration","NFX","-1.65%","-0.18%","-8.24%","-12.78%","-1.19%","-15.51%"
"Newmont Mining","NEM","0.63%","-1.17%","-5.13%","-2.83%","0.86%","123.00%"
"News Corp","NWS","0.66%","1.32%","-1.29%","-7.83%","4.79%","7.75%"
"News Corp A","NWSA","0.47%","1.28%","-1.31%","-6.97%","6.80%","3.29%"
"NextEra Energy","NEE","1.00%","2.50%","1.55%","9.58%","16.63%","61.52%"
"Nielsen Holdings","NLSN","-2.57%","-1.65%","-28.49%","-39.59%","-48.10%","-54.24%"
"Nike","NKE","0.11%","2.41%","2.86%","25.88%","31.76%","34.87%"
"NiSource","NI","1.14%","1.60%","-0.78%","3.58%","0.72%","57.99%"
"Noble Energy","NBL","-7.92%","-6.93%","-5.62%","12.87%","26.89%","-1.56%"
"Nordstrom","JWN","-0.34%","-2.67%","-4.78%","6.75%","8.05%","-28.27%"
"Norfolk Southern","NSC","1.85%","2.01%","12.11%","18.44%","49.74%","107.82%"
"Northern Trust","NTRS","0.67%","-1.04%","7.17%","9.93%","23.40%","42.22%"
"Northrop Grumman","NOC","-0.48%","-1.46%","-3.57%","-3.15%","10.40%","71.15%"
"Norwegian Cruise Line","NCLH","0.26%","0.10%","6.84%","-6.46%","-12.46%","-18.58%"
"NRG","NRG","3.29%","3.26%","6.12%","14.50%","33.37%","62.81%"
"Nucor","NUE","-0.11%","-4.64%","2.33%","1.40%","12.16%","41.72%"
"NVIDIA","NVDA","0.59%","0.03%","3.86%","30.28%","50.77%","1124.98%"
"O'Reilly","ORLY","0.97%","3.81%","11.49%","29.66%","52.10%","27.73%"
"Occidental","OXY","0.06%","-1.41%","-2.26%","11.72%","32.53%","19.90%"
"Omnicom","OMC","0.16%","-2.22%","-11.27%","-7.39%","-14.84%","-8.78%"
"ONEOK","OKE","-0.24%","-3.72%","-3.87%","26.30%","26.12%","93.88%"
"Oracle","ORCL","1.19%","-0.33%","6.74%","2.52%","-2.98%","22.28%"
"PACCAR","PCAR","1.80%","-2.48%","6.36%","-9.36%","-6.05%","4.36%"
"Pacific Gas&Electric","PCG","1.54%","-1.20%","-2.76%","-4.17%","-37.33%","-17.11%"
"Packaging America","PKG","0.54%","1.87%","-1.18%","-7.60%","2.12%","57.53%"
"Parker-Hannifin","PH","0.55%","4.92%","9.82%","-13.56%","5.05%","55.69%"
"Patterson","PDCO","2.25%","3.24%","7.87%","-32.08%","-37.45%","-51.05%"
"Paychex","PAYX","0.62%","-1.68%","0.96%","2.44%","24.34%","44.48%"
"PayPal Holdings Inc","PYPL","-0.40%","-0.32%","0.71%","15.72%","44.73%","116.93%"
"Pentair","PNR","1.43%","1.62%","3.53%","-37.75%","-30.40%","-27.77%"
"People’s United","PBCT","-0.32%","0.32%","2.09%","-0.86%","5.40%","13.46%"
"PepsiCo","PEP","1.40%","1.77%","6.16%","-3.02%","-0.06%","17.25%"
"PerkinElmer","PKI","-0.27%","10.48%","17.00%","18.05%","34.27%","63.33%"
"Perrigo","PRGO","0.56%","0.28%","4.63%","-9.69%","16.73%","-58.50%"
"Pfizer","PFE","2.24%","5.55%","9.95%","11.93%","20.51%","13.18%"
"Philip Morris","PM","0.98%","1.60%","5.86%","-17.80%","-24.33%","1.11%"
"Phillips 66","PSX","-0.32%","2.42%","10.45%","20.28%","42.13%","55.42%"
"Pinnacle West","PNW","0.34%","-0.42%","-2.50%","-5.71%","-8.79%","32.00%"
"Pioneer Natural Resources","PXD","-2.37%","-1.03%","0.43%","6.51%","36.04%","46.58%"
"PNC Financial","PNC","-0.08%","0.44%","6.97%","0.51%","9.73%","47.12%"
"PPG Industries","PPG","1.49%","1.38%","7.92%","-5.02%","5.66%","4.09%"
"PPL","PPL","1.22%","0.63%","-1.66%","-6.40%","-25.32%","-8.70%"
"Praxair","PX","0.68%","-1.33%","1.44%","6.16%","26.17%","44.82%"
"Principal Financial","PFG","0.31%","-3.33%","4.28%","-20.89%","-16.74%","0.11%"
"Procter&Gamble","PG","0.40%","2.17%","3.94%","-10.39%","-9.20%","8.66%"
"Progressive","PGR","-0.21%","2.81%","4.22%","9.29%","29.01%","100.23%"
"ProLogis","PLD","1.46%","2.78%","1.26%","3.57%","8.88%","65.04%"
"Prudential Financial","PRU","-0.46%","0.54%","5.38%","-13.53%","-11.62%","10.64%"
"Public Service Enterprise","PEG","0.45%","-0.00%","-3.73%","-0.14%","12.54%","24.86%"
"Public Storage","PSA","1.79%","-0.64%","-8.05%","2.38%","6.20%","4.06%"
"PulteGroup","PHM","0.28%","1.81%","-1.82%","-13.86%","11.87%","43.49%"
"PVH","PVH","0.04%","-2.10%","3.45%","9.94%","23.55%","29.06%"
"Qorvo Inc","QRVO","-0.27%","3.01%","2.88%","26.40%","26.36%","53.53%"
"Qualcomm","QCOM","0.97%","4.32%","13.98%","2.16%","24.29%","2.38%"
"Quanta Services","PWR","-0.54%","3.62%","3.47%","-10.71%","-4.33%","51.10%"
"Quest Diagnostics","DGX","0.29%","1.99%","-1.78%","10.51%","1.75%","46.13%"
"Ralph Lauren A","RL","-0.11%","-4.18%","3.87%","25.72%","68.66%","7.29%"
"Range Resources","RRC","2.03%","7.60%","-6.43%","-8.73%","-12.92%","-57.32%"
"Raymond James Financial","RJF","0.41%","-1.89%","3.58%","2.28%","10.18%","53.72%"
"Raytheon","RTN","-0.69%","-0.19%","1.12%","4.23%","12.61%","77.97%"
"Realty Income","O","1.34%","4.78%","4.55%","1.14%","0.38%","21.72%"
"Red Hat","RHT","-0.33%","-3.05%","4.01%","17.40%","43.35%","75.94%"
"Regency Centers","REG","1.95%","4.80%","4.35%","-6.27%","-2.83%","2.40%"
"Regeneron Pharma","REGN","-0.53%","7.42%","9.40%","5.03%","-15.76%","-33.34%"
"Regions Financial","RF","0.37%","3.13%","9.62%","10.76%","28.11%","82.63%"
"Republic Services","RSG","-0.62%","0.22%","5.35%","7.45%","12.24%","68.13%"
"ResMed","RMD","-3.56%","-1.63%","-0.49%","23.67%","39.49%","88.55%"
"Robert Half","RHI","-0.57%","2.39%","17.66%","39.05%","74.65%","37.81%"
"Rockwell Automation","ROK","-0.47%","-2.49%","5.81%","-8.59%","8.84%","54.68%"
"Rockwell Collins","COL","-0.32%","-1.20%","1.41%","0.97%","15.08%","61.28%"
"Roper Technologies","ROP","-0.51%","-1.27%","6.90%","13.92%","24.67%","76.26%"
"Ross Stores","ROST","-0.46%","3.63%","4.63%","10.97%","59.42%","65.49%"
"Royal Caribbean Cruises","RCL","-1.69%","0.58%","8.22%","-5.75%","-6.07%","24.98%"
"S&P Global","SPGI","0.41%","-2.84%","-3.29%","16.93%","31.15%","94.96%"
"Salesforce.com","CRM","-0.07%","-1.99%","0.91%","37.96%","55.93%","94.46%"
"SBA Communications","SBAC","0.82%","-0.99%","-4.54%","-2.98%","13.24%","31.28%"
"Scana","SCG","1.89%","2.91%","3.85%","5.88%","-33.97%","-22.86%"
"Schlumberger","SLB","-0.08%","-1.72%","-0.81%","-2.23%","-2.44%","-20.13%"
"Seagate","STX","0.86%","-1.48%","-8.07%","28.78%","61.17%","3.90%"
"Sealed Air","SEE","1.07%","-1.00%","2.00%","-11.99%","-0.23%","-21.68%"
"Sempra Energy","SRE","0.66%","1.58%","-0.43%","9.23%","-0.34%","15.99%"
"Sherwin-Williams","SHW","1.03%","-0.20%","8.06%","8.01%","32.18%","61.24%"
"Signet Jewelers","SIG","-0.36%","-3.30%","1.83%","4.17%","-3.20%","-51.71%"
"Simon Property","SPG","1.14%","5.75%","3.34%","3.80%","8.35%","-5.53%"
"Skyworks","SWKS","-0.01%","0.43%","-4.06%","0.70%","-6.77%","7.48%"
"SL Green","SLG","1.18%","3.59%","1.79%","3.43%","1.75%","-8.31%"
"Snap-On","SNA","0.71%","0.25%","2.79%","-3.37%","10.26%","0.62%"
"Southern","SO","0.95%","2.00%","2.88%","1.75%","0.29%","9.68%"
"Southwest Airlines","LUV","1.27%","-1.66%","10.70%","-12.28%","1.47%","51.52%"
"Stanley Black Decker","SWK","0.47%","-0.95%","7.92%","-14.84%","1.52%","37.26%"
"Starbucks","SBUX","1.06%","0.15%","7.45%","-9.05%","-5.79%","-11.49%"
"State Street","STT","0.06%","-0.14%","-6.00%","-10.99%","-8.64%","11.24%"
"Stericycle","SRCL","-13.13%","-12.61%","-5.66%","-9.31%","-21.40%","-56.97%"
"Stryker","SYK","-0.69%","-2.21%","-3.52%","6.76%","12.81%","60.30%"
"SunTrust Banks","STI","-0.46%","-0.73%","7.77%","11.69%","23.42%","61.60%"
"Symantec","SYMC","-7.81%","-7.14%","-8.98%","-31.40%","-34.01%","4.39%"
"Synchrony Financial","SYF","1.26%","-0.23%","-11.16%","-22.69%","-0.07%","-13.63%"
"Synopsys","SNPS","0.53%","-1.56%","4.55%","6.92%","18.97%","76.63%"
"Sysco","SYY","0.78%","-4.07%","-1.14%","12.91%","31.03%","86.53%"
"T Rowe","TROW","-0.03%","-1.35%","1.65%","11.88%","41.80%","53.50%"
"Tapestry","TPR","0.00%","-2.19%","0.58%","5.20%","-1.02%","46.64%"
"Target","TGT","0.85%","1.65%","6.40%","24.83%","41.46%","1.76%"
"TE Connectivity","TEL","0.63%","-0.97%","2.01%","-2.05%","15.81%","48.73%"
"TechnipFMC","FTI","-1.42%","-3.94%","2.63%","-0.32%","13.37%","-6.02%"
"Texas Instruments","TXN","0.56%","0.21%","1.19%","8.04%","38.57%","121.91%"
"Textron","TXT","-0.83%","-0.04%","1.44%","18.40%","35.88%","54.88%"
"The AES","AES","1.03%","2.39%","5.55%","26.41%","23.56%","8.74%"
"The Charles Schwab","SCHW","0.32%","-4.30%","1.64%","-2.10%","16.66%","42.14%"
"The Goodyear Tire&Rubber","GT","1.48%","6.39%","3.62%","-23.77%","-21.06%","-20.57%"
"The Travelers","TRV","1.07%","-0.79%","5.79%","-4.38%","0.01%","22.27%"
"Thermo Fisher Scientific","TMO","0.06%","0.96%","12.52%","22.88%","32.32%","68.23%"
"Tiffany&Co","TIF","-0.80%","-0.64%","2.11%","30.64%","46.02%","43.22%"
"TJX","TJX","0.13%","1.08%","2.65%","27.64%","39.10%","39.06%"
"Torchmark","TMK","0.57%","-0.98%","5.57%","-4.23%","9.86%","38.57%"
"Total System Services","TSS","-0.11%","-0.02%","8.91%","17.75%","45.27%","95.90%"
"Tractor Supply","TSCO","-0.04%","3.11%","2.00%","5.18%","37.95%","-15.78%"
"Transdigm","TDG","0.58%","-0.05%","6.42%","34.67%","31.80%","54.97%"
"TripAdvisor","TRIP","4.08%","-8.04%","-6.40%","54.59%","34.83%","-31.67%"
"Twenty-First Century Fox A","FOXA","0.87%","0.60%","-6.81%","31.54%","59.59%","42.29%"
"Tyson Foods","TSN","0.35%","-9.14%","-14.18%","-28.77%","-8.77%","39.49%"
"Ulta Beauty","ULTA","0.09%","-5.99%","-1.19%","5.08%","-6.07%","40.72%"
"Under Armour A","UAA","0.36%","-4.47%","-10.83%","36.38%","7.01%","-62.29%"
"Under Armour C","UA","1.16%","-4.67%","-11.42%","37.99%","10.66%","-64.79%"
"Union Pacific","UNP","-0.11%","0.82%","5.29%","11.69%","46.16%","57.55%"
"United Continental","UAL","0.61%","1.66%","14.69%","20.68%","18.04%","39.98%"
"United Dominion","UDR","1.11%","5.79%","4.04%","1.58%","1.27%","15.26%"
"United Parcel Service","UPS","0.46%","0.41%","12.10%","-0.00%","6.34%","15.75%"
"United Rentals","URI","0.87%","0.75%","-0.06%","-13.67%","25.38%","126.68%"
"United Technologies","UTX","-0.17%","-0.48%","7.15%","4.95%","10.21%","35.42%"
"UnitedHealth","UNH","0.45%","0.50%","2.68%","16.67%","31.99%","107.57%"
"Universal Health Services","UHS","1.29%","-0.63%","11.50%","9.56%","14.89%","-13.73%"
"Unum","UNM","1.56%","-6.08%","-3.52%","-33.61%","-28.27%","2.59%"
"US Bancorp","USB","0.69%","0.59%","5.97%","-1.25%","-0.40%","16.46%"
"Valero Energy","VLO","0.04%","-0.83%","7.30%","25.54%","68.36%","78.00%"
"Varian","VAR","-0.04%","0.56%","-0.72%","3.26%","18.80%","31.41%"
"Ventas","VTR","2.67%","5.26%","-1.36%","-3.35%","-11.87%","-0.29%"
"VeriSign","VRSN","0.01%","0.49%","7.10%","31.95%","52.05%","112.47%"
"Verisk","VRSK","-0.24%","2.63%","4.70%","19.16%","38.02%","46.67%"
"Verizon","VZ","0.56%","0.50%","1.93%","-1.25%","6.87%","12.07%"
"Vertex","VRTX","-1.88%","1.42%","2.98%","16.47%","12.94%","23.59%"
"VF","VFC","0.37%","0.51%","13.73%","24.92%","46.24%","20.49%"
"Viacom B","VIAB","1.71%","-0.89%","-1.09%","-5.58%","-3.74%","-43.42%"
"Visa","V","0.65%","-0.63%","4.90%","22.63%","38.59%","86.48%"
"Vornado","VNO","1.34%","2.37%","-4.09%","-7.89%","-9.39%","-24.71%"
"Vulcan Materials","VMC","-0.15%","-3.28%","-11.54%","-10.80%","-6.02%","17.52%"
"Walgreens Boots","WBA","0.36%","-2.07%","7.76%","-7.44%","-17.07%","-30.47%"
"Walmart","WMT","0.95%","1.67%","5.95%","-9.27%","11.33%","21.89%"
"Walt Disney","DIS","1.19%","1.31%","8.31%","6.12%","5.94%","3.22%"
"Waste Management","WM","-0.61%","-0.10%","8.83%","3.78%","18.59%","73.57%"
"Waters","WAT","-0.48%","-0.61%","-0.58%","0.41%","9.07%","43.54%"
"WEC Energy","WEC","1.00%","0.97%","0.99%","-0.15%","3.50%","36.29%"
"Wells Fargo&Co","WFC","0.93%","0.34%","6.50%","-3.03%","11.34%","2.05%"
"Welltower","WELL","1.82%","4.06%","0.77%","0.86%","-10.46%","-6.17%"
"Western Digital","WDC","-0.82%","-4.46%","-12.26%","-14.55%","-16.27%","-19.75%"
"Western Union","WU","-5.78%","-4.24%","-4.43%","2.05%","-1.62%","-4.57%"
"WestRock Co","WRK","0.74%","-0.53%","-1.57%","-11.69%","-2.63%","-11.04%"
"Weyerhaeuser","WY","-0.32%","0.41%","-8.29%","-3.66%","3.63%","10.33%"
"Whirlpool","WHR","1.94%","5.39%","-9.43%","-20.08%","-24.20%","-22.47%"
"Williams","WMB","0.52%","7.01%","13.57%","2.13%","0.52%","-36.66%"
"Willis Towers Watson","WLTW","2.12%","-7.35%","-3.28%","-1.24%","-0.55%","19.18%"
"WW Grainger","GWW","-0.59%","-0.10%","13.80%","43.49%","99.00%","49.31%"
"Wyndham","WYND","0.11%","1.66%","5.37%","-11.13%","0.69%","-41.69%"
"Wynn Resorts","WYNN","-0.23%","-8.69%","-3.65%","-11.51%","17.00%","47.32%"
"Xcel Energy","XEL","1.24%","1.27%","1.27%","-1.93%","-1.65%","37.07%"
"Xerox","XRX","1.79%","2.15%","8.06%","-10.33%","-18.87%","-9.71%"
"Xilinx","XLNX","0.21%","-2.72%","7.54%","6.60%","13.57%","68.27%"
"XL Group","XL","-0.11%","0.11%","0.25%","60.04%","27.11%","44.80%"
"Xylem","XYL","1.29%","8.28%","13.23%","11.44%","26.62%","124.25%"
"Yum! Brands","YUM","1.53%","3.74%","5.30%","0.31%","9.10%","-8.06%"
"Zimmer Biomet","ZBH","1.21%","-0.23%","11.56%","4.34%","6.77%","21.21%"
"Zions","ZION","-0.35%","3.21%","1.83%","4.94%","15.65%","70.74%"
"Zoetis Inc","ZTS","0.22%","7.55%","6.36%","27.19%","47.50%","88.50%"
