"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"3M","MMM","207.29","207.58","205.20","+1.76","+0.86%","1.30M","03/08"
"Abbott Labs","ABT","65.23","65.24","64.44","+0.65","+1.01%","3.95M","03/08"
"AbbVie","ABBV","96.530","96.850","94.820","+1.410","+1.48%","4.88M","03/08"
"Accenture","ACN","160.37","160.94","158.96","+0.22","+0.14%","1.48M","03/08"
"Activision Blizzard","ATVI","71.32","75.25","70.73","-2.74","-3.70%","12.70M","03/08"
"Acuity Brands","AYI","136.48","138.35","135.36","+0.71","+0.52%","364.04K","03/08"
"Adobe","ADBE","253.28","254.39","249.48","+1.06","+0.42%","2.10M","03/08"
"ADP","ADP","134.25","134.40","133.00","+1.10","+0.83%","2.27M","03/08"
"Advance Auto Parts","AAP","144.68","145.66","143.03","+1.42","+0.99%","535.00K","03/08"
"Aetna","AET","188.73","189.25","187.10","+1.68","+0.90%","1.02M","03/08"
"Affiliated Managers","AMG","152.06","155.88","149.00","-3.59","-2.31%","1.44M","03/08"
"Aflac","AFL","46.59","46.59","46.13","+0.23","+0.50%","3.06M","03/08"
"Agilent Technologies","A","65.73","65.79","64.96","+0.44","+0.67%","1.86M","03/08"
"AIG","AIG","53.65","54.08","52.36","-1.51","-2.74%","12.22M","03/08"
"Air Products","APD","159.96","161.78","159.64","-0.03","-0.02%","903.66K","03/08"
"Akamai","AKAM","74.61","75.00","73.92","+0.33","+0.44%","1.56M","03/08"
"Alaska Air","ALK","62.80","63.08","61.83","+1.20","+1.95%","1.38M","03/08"
"Albemarle","ALB","92.61","92.91","91.81","+0.59","+0.64%","786.74K","03/08"
"Alexandria RE","ARE","127.46","127.48","125.46","+1.41","+1.12%","429.13K","03/08"
"Alexion","ALXN","123.67","128.00","122.81","-2.34","-1.86%","2.50M","03/08"
"Align","ALGN","363.51","369.49","356.13","-4.41","-1.20%","713.03K","03/08"
"Allegion PLC","ALLE","81.72","81.92","80.83","+0.52","+0.64%","301.55K","03/08"
"Allergan","AGN","185.93","187.32","185.11","+1.65","+0.90%","1.43M","03/08"
"Alliance Data Systems","ADS","227.59","228.59","223.71","+2.50","+1.11%","369.88K","03/08"
"Alliant Energy","LNT","42.76","43.06","41.39","+0.29","+0.68%","1.80M","03/08"
"Allstate","ALL","98.05","98.07","96.80","+0.51","+0.52%","2.68M","03/08"
