"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"8x8","EGHT","20.60","20.70","20.18","0.00","0.00%","389.74K","03/08"
"A Schulman","SHLM","43.70","43.85","43.68","0.00","0.00%","145.55K","03/08"
"AAON","AAON","38.30","38.40","37.10","+1.20","+3.23%","282.21K","03/08"
"AAR","AIR","46.41","46.92","46.10","-0.40","-0.85%","141.70K","03/08"
"Abercrombie&Fitch","ANF","24.94","25.37","24.38","+0.75","+3.10%","1.56M","03/08"
"ABM Industries","ABM","31.12","31.32","30.98","0.00","0.00%","406.65K","03/08"
"Acadia","AKR","27.50","27.52","27.14","+0.31","+1.14%","242.62K","03/08"
"Aceto","ACET","3.21","3.24","3.12","+0.04","+1.26%","128.39K","03/08"
"Acorda","ACOR","26.25","28.15","25.85","+0.25","+0.96%","654.94K","03/08"
"Actuant","ATU","28.50","28.70","28.18","+0.05","+0.18%","226.35K","03/08"
"ADTRAN","ADTN","16.15","16.50","16.05","-0.05","-0.31%","132.25K","03/08"
"Advanced Energy","AEIS","60.49","60.78","59.50","+0.44","+0.73%","405.67K","03/08"
"AdvanSix","ASIX","36.39","41.45","36.25","-3.42","-8.59%","322.20K","03/08"
"Aegion","AEGN","24.68","25.17","24.44","+0.31","+1.27%","114.89K","03/08"
"Aerojet Rocketdyne","AJRD","34.21","34.66","33.50","-0.24","-0.70%","566.02K","03/08"
"AeroVironment","AVAV","75.02","76.59","74.90","-0.80","-1.06%","185.03K","03/08"
"Agilysys","AGYS","14.72","15.41","14.61","-0.72","-4.66%","103.62K","03/08"
"Agree","ADC","54.07","54.30","53.79","+0.24","+0.45%","85.32K","03/08"
"AK Steel","AKS","4.500","4.530","4.410","+0.070","+1.58%","10.18M","03/08"
"Alamo","ALG","93.73","94.88","91.43","+0.05","+0.05%","98.11K","03/08"
"Albany","AIN","64.75","66.30","64.20","-0.65","-0.99%","67.06K","03/08"
"Allegiant","ALGT","125.10","125.65","121.30","+3.70","+3.05%","204.39K","03/08"
"Allete","ALE","75.78","76.44","75.12","-0.22","-0.29%","218.07K","03/08"
"AMAG","AMAG","23.90","24.75","23.55","+0.70","+3.02%","678.87K","03/08"
"Amedisys","AMED","108.27","109.36","106.54","+2.26","+2.13%","671.30K","03/08"
"American Assets","AAT","38.87","38.90","38.31","+0.75","+1.97%","192.16K","03/08"
"American Axle&Manufacturing","AXL","17.02","17.22","16.41","+0.99","+6.18%","2.98M","03/08"
"American Equity Inv. Life","AEL","35.45","35.87","35.06","-0.17","-0.48%","262.46K","03/08"
"American Public Education","APEI","43.30","44.10","43.00","-0.65","-1.48%","42.73K","03/08"
"American States Water","AWR","60.06","60.90","60.01","-0.62","-1.02%","172.64K","03/08"
"American Vanguard","AVD","21.40","21.80","21.25","-0.20","-0.93%","67.04K","03/08"
"American Woodmark","AMWD","86.50","86.85","83.50","+2.95","+3.53%","161.14K","03/08"
"Ameris","ABCB","48.90","49.90","48.38","-0.25","-0.51%","585.81K","03/08"
"AMERISAFE","AMSF","62.55","64.35","62.10","-0.95","-1.50%","59.30K","03/08"
"AMN Healthcare Services","AMN","52.30","54.23","50.82","-4.85","-8.49%","2.04M","03/08"
"Amneal Pharma A","AMRX","19.37","19.53","19.13","+0.17","+0.89%","591.88K","03/08"
"Amphastar P","AMPH","17.40","17.42","17.21","+0.13","+0.75%","98.73K","03/08"
"AngioDynamics","ANGO","21.69","21.88","21.43","-0.13","-0.60%","148.72K","03/08"
"ANI Pharma","ANIP","65.03","67.27","64.64","-0.93","-1.41%","58.87K","03/08"
"Anika","ANIK","41.33","41.45","40.01","+0.79","+1.95%","165.89K","03/08"
"Anixter","AXE","71.70","72.35","70.75","+0.40","+0.56%","173.41K","03/08"
"Apogee","APOG","49.11","49.86","48.95","-0.42","-0.85%","95.10K","03/08"
"Applied Industrial Technologies","AIT","71.90","72.65","71.40","-0.20","-0.28%","170.53K","03/08"
"ArcBest Corp","ARCB","46.40","48.60","46.30","-1.95","-4.03%","215.26K","03/08"
"Archrock","AROC","13.05","13.75","13.05","-0.50","-3.69%","677.92K","03/08"
"Asbury Automotive","ABG","72.85","72.85","71.65","+1.55","+2.17%","262.05K","03/08"
"ASGN","ASGN","91.80","94.25","91.52","-1.89","-2.02%","390.96K","03/08"
"Astec","ASTE","45.75","46.56","45.45","-0.36","-0.78%","233.38K","03/08"
"Atlas Air","AAWW","63.10","65.75","62.90","-1.55","-2.40%","344.85K","03/08"
"ATN Int","ATNI","64.54","65.50","64.15","-0.43","-0.66%","30.45K","03/08"
"Avista","AVA","50.62","50.87","50.46","+0.11","+0.22%","640.98K","03/08"
"Axon Enterprise","AAXN","69.09","71.00","67.93","-0.69","-0.99%","406.57K","03/08"
"AZZ","AZZ","53.60","54.75","53.50","-0.45","-0.83%","150.36K","03/08"
"B&G Foods","BGS","31.15","31.98","28.50","+0.20","+0.65%","1.99M","03/08"
"Badger Meter","BMI","51.55","52.30","50.75","-0.65","-1.25%","118.85K","03/08"
"Balchem","BCPC","97.22","99.78","91.51","-3.46","-3.44%","181.77K","03/08"
"Banc of California","BANC","20.00","20.45","20.00","-0.25","-1.23%","293.12K","03/08"
"Banner","BANR","63.85","64.79","63.74","-0.88","-1.36%","84.02K","03/08"
"Barnes","B","65.81","66.59","65.41","-0.30","-0.45%","135.30K","03/08"
"Barnes & Noble Education Inc","BNED","5.82","5.88","5.65","+0.17","+3.01%","285.30K","03/08"
"Barnes&Noble","BKS","5.90","6.10","5.60","-0.15","-2.48%","2.74M","03/08"
"Bel Fuse B","BELFB","24.55","24.95","24.30","+0.25","+1.03%","31.98K","03/08"
"Belmond","BEL","11.20","11.40","11.13","-0.05","-0.44%","304.15K","03/08"
"Benchmark Electronics","BHE","24.75","24.95","24.55","+0.20","+0.81%","350.38K","03/08"
"Big 5","BGFV","5.70","6.10","5.65","-0.25","-4.20%","461.53K","03/08"
"Biglari","BH","183.68","188.20","181.07","-1.86","-1.00%","4.12K","03/08"
"BioTelemetry","BEAT","55.150","56.174","54.400","-0.500","-0.90%","333.76K","03/08"
"BJs Restaurants","BJRI","61.05","62.79","59.75","-0.80","-1.29%","347.51K","03/08"
"Black Box","BBOX","1.48","1.52","1.42","+0.05","+3.50%","299.97K","03/08"
"Blackbaud","BLKB","96.94","99.23","95.64","-1.42","-1.44%","626.92K","03/08"
"Blucora","BCOR","34.650","36.150","34.200","-1.100","-3.08%","485.05K","03/08"
"BofI Holding","BOFI","41.85","43.17","39.70","+2.21","+5.58%","1.52M","03/08"
"Boise Cascad Llc","BCC","44.00","44.35","43.15","+0.55","+1.27%","571.21K","03/08"
"Boston Private","BPFH","14.50","14.85","14.25","-0.15","-1.02%","413.26K","03/08"
"Bottomline","EPAY","55.40","56.66","54.92","-0.20","-0.36%","400.09K","03/08"
"Boyd Gaming","BYD","36.78","36.95","36.11","+0.62","+1.71%","1.25M","03/08"
"Brady","BRC","36.85","37.35","36.70","-0.35","-0.94%","134.99K","03/08"
"Briggs&Stratton","BGG","17.71","17.83","17.52","+0.11","+0.62%","159.47K","03/08"
"Brinks","BCO","79.55","80.00","78.90","-0.20","-0.25%","282.19K","03/08"
"Bristow","BRS","12.35","12.74","12.02","-1.15","-8.52%","1.70M","03/08"
"Brookline Bancorp","BRKL","18.10","18.50","18.05","-0.30","-1.63%","193.00K","03/08"
"Brooks Automation","BRKS","31.79","31.96","30.86","+0.49","+1.57%","983.68K","03/08"
"Buckle","BKE","24.30","24.50","23.95","+0.05","+0.21%","322.79K","03/08"
"Cabot","CCMP","122.50","123.62","121.38","-0.13","-0.11%","126.04K","03/08"
"CACI","CACI","177.05","178.20","174.95","-0.20","-0.11%","78.65K","03/08"
"Cal-Maine","CALM","44.60","44.78","43.95","+0.70","+1.60%","308.53K","03/08"
"CalAmp","CAMP","22.75","22.87","22.57","+0.01","+0.04%","152.47K","03/08"
"Calavo Growers","CVGW","94.75","95.00","93.65","+1.00","+1.07%","61.19K","03/08"
"Caleres","CAL","34.09","34.46","33.71","+0.21","+0.62%","182.04K","03/08"
"California Water Service","CWT","39.95","41.00","39.90","-0.76","-1.87%","172.94K","03/08"
"Callaway Golf","ELY","21.72","23.60","21.51","+2.10","+10.70%","5.15M","03/08"
"Cambrex","CBM","63.75","67.45","63.15","-2.40","-3.63%","383.64K","03/08"
