"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"Cantel Medical","CMD","94.01","94.87","92.88","-0.96","-1.01%","192.10K","03/08"
"Capstead Mortgage","CMO","8.25","8.36","8.25","-0.09","-1.08%","516.23K","03/08"
"Carbo Ceramics","CRR","8.85","9.37","8.75","-0.34","-3.70%","283.68K","03/08"
"Cardtronics","CATM","30.20","32.33","27.70","+6.24","+26.04%","2.67M","03/08"
"Career","CECO","16.92","17.56","16.77","-0.68","-3.86%","390.77K","03/08"
"Caretrust Inc","CTRE","17.62","17.86","17.05","+0.59","+3.46%","802.32K","03/08"
"Carrizo Oil&Gas","CRZO","27.25","27.99","26.96","-0.56","-2.01%","1.35M","03/08"
"Cato","CATO","24.97","25.71","24.75","-0.04","-0.16%","241.06K","03/08"
"Cavco","CVCO","213.60","213.95","209.65","+1.60","+0.75%","24.62K","03/08"
"Cedar Realty","CDR","4.62","4.74","4.50","-0.02","-0.43%","363.58K","03/08"
"Celadon","CGIP","3.09","3.16","3.03","+0.04","+1.31%","72.35K","03/08"
"Central Garden&Pet","CENT","43.26","43.31","42.29","+0.26","+0.60%","187.26K","03/08"
"Central Garden&Pet A","CENTA","40.28","40.34","39.28","+0.48","+1.21%","297.23K","03/08"
"Century Aluminum","CENX","12.77","13.17","12.61","-0.34","-2.59%","2.67M","03/08"
"CEVA","CEVA","31.50","31.65","31.05","-0.05","-0.16%","60.06K","03/08"
"Chart Industries","GTLS","76.43","78.73","74.83","-1.56","-2.00%","524.53K","03/08"
"Chemed","CHE","316.04","320.17","315.14","-3.35","-1.05%","110.27K","03/08"
"Chemours Co","CC","47.040","48.970","43.750","+3.070","+6.98%","5.62M","03/08"
"Chesapeake Lodging","CHSP","32.08","32.77","31.99","-0.61","-1.87%","159.45K","03/08"
"Chuy's Holdings","CHUY","30.850","31.600","30.750","-0.400","-1.28%","58.33K","03/08"
"Cincinnati Bell","CBB","13.150","13.500","12.950","-0.050","-0.38%","451.92K","03/08"
"CIRCOR","CIR","43.63","44.41","43.29","+0.20","+0.46%","96.98K","03/08"
"City Holding","CHCO","80.10","81.99","79.73","-1.36","-1.67%","36.97K","03/08"
"Clearwater Paper","CLW","26.20","26.45","25.15","+0.90","+3.56%","362.44K","03/08"
"Cloud Peak Energy","CLD","2.630","2.730","2.550","-0.050","-1.87%","578.52K","03/08"
"CMTSU Liquidation","CBRI","0.003","0.003","0.003","0.000","0.00%","1.87K","03/08"
"Cogent","CCOI","50.48","51.70","50.45","-0.62","-1.22%","138.38K","03/08"
"Coherent","COHR","182.10","184.59","178.40","-1.48","-0.81%","421.14K","03/08"
"Cohu","COHU","26.29","26.46","25.20","+0.91","+3.59%","598.49K","03/08"
"Columbia Banking","COLB","41.29","42.19","41.26","-0.70","-1.67%","241.95K","03/08"
"Comfort Systems","FIX","55.25","55.30","54.95","+0.30","+0.55%","266.35K","03/08"
"Community Bank System","CBU","63.52","64.84","63.38","-0.96","-1.49%","100.48K","03/08"
"Community Health Systems","CYH","3.22","3.27","3.08","+0.11","+3.54%","2.13M","03/08"
"Computer Programs&Systems","CPSI","26.40","27.40","25.15","-4.30","-14.01%","690.78K","03/08"
"Comtech","CMTL","33.82","34.55","33.52","-0.56","-1.63%","67.21K","03/08"
"CONMED","CNMD","80.08","80.40","79.12","-0.32","-0.40%","184.39K","03/08"
"Consolidated Communications","CNSL","10.85","11.75","10.84","-0.92","-7.82%","1.92M","03/08"
"Contango Oil&Gas","MCF","5.10","5.60","4.99","-0.30","-5.56%","42.75K","02/08"
"Cooper Stnd","CPS","142.70","146.78","141.16","-2.13","-1.47%","132.92K","03/08"
"Core-Mark","CORE","24.51","24.56","24.17","+0.17","+0.70%","286.73K","03/08"
"CoreSite","COR","114.30","114.62","112.66","+1.32","+1.17%","376.63K","03/08"
"Corindus Vascular Robotics","CR3","0.889","0.889","0.889","+0.006","+0.68%","0","03/08"
"CorVel","CRVL","56.55","57.65","55.90","-0.80","-1.39%","24.63K","03/08"
"CPB","CPF","27.77","28.22","27.72","-0.28","-1.00%","99.00K","03/08"
"Cray","CRAY","23.00","24.25","22.60","-1.25","-5.15%","508.15K","03/08"
"Crocs","CROX","17.98","18.13","17.72","+0.02","+0.11%","770.85K","03/08"
"Cross Country","CCRN","8.48","8.58","8.07","+0.37","+4.56%","673.65K","03/08"
"CryoLife","CRY","29.85","30.20","29.35","-0.15","-0.50%","104.33K","03/08"
"CSG Systems","CSGS","37.84","38.62","37.30","-0.89","-2.30%","313.68K","03/08"
"CTS Corp","CTS","35.15","35.70","34.80","-0.15","-0.42%","76.52K","03/08"
"Cubic","CUB","66.70","69.05","66.55","-1.95","-2.84%","117.99K","03/08"
"Customers Bancorp","CUBI","25.71","26.20","25.32","-0.12","-0.46%","166.51K","03/08"
"CVB Financial","CVBF","23.78","24.31","23.76","-0.43","-1.78%","348.13K","03/08"
"Daktronics","DAKT","8.49","8.59","8.40","-0.04","-0.47%","140.75K","03/08"
"Darling Ingredients","DAR","20.51","20.56","20.22","+0.31","+1.53%","840.16K","03/08"
"Dave & Buster’s Entertainment","PLAY","49.47","50.07","49.03","-0.04","-0.08%","464.98K","03/08"
"Depomed","DEPO","8.68","8.90","8.62","+0.02","+0.23%","894.23K","03/08"
"DHI Group","DHX","2.05","2.15","2.05","-0.10","-4.65%","453.54K","03/08"
"Diamondrock Hospitality","DRH","11.80","12.35","11.58","-0.48","-3.91%","3.42M","03/08"
"Digi","DGII","12.95","13.55","12.94","-0.50","-3.72%","161.61K","03/08"
"Dime Community","DCOM","17.40","17.55","17.20","0.00","0.00%","183.50K","03/08"
"DineEquity","DIN","74.77","75.80","73.38","+0.16","+0.21%","363.51K","03/08"
"Diodes","DIOD","36.36","36.82","36.14","-0.22","-0.60%","140.91K","03/08"
"Diplomat Pharmacy","DPLO","21.21","21.45","21.00","+0.10","+0.47%","853.08K","03/08"
"Donnelley Financial Solutions","DFIN","18.56","20.03","18.32","-1.47","-7.34%","846.48K","03/08"
"Dorman","DORM","73.30","74.12","72.85","-0.08","-0.11%","154.37K","03/08"
"DSP Group","DSPG","12.15","12.35","11.78","+0.05","+0.41%","39.14K","03/08"
"DXP Enterprises","DXPE","41.54","42.68","41.47","-0.58","-1.38%","65.64K","03/08"
"Eagle Pharm","EGRX","77.70","78.02","74.99","+2.45","+3.26%","263.45K","03/08"
"EastGroup Properties","EGP","97.56","97.56","96.09","+1.15","+1.19%","146.90K","03/08"
"Ebix","EBIX","80.80","81.70","79.65","-0.40","-0.49%","113.48K","03/08"
"Echo Global","ECHO","33.55","34.32","33.55","-0.45","-1.32%","295.24K","03/08"
"eHealth","EHTH","25.76","25.92","25.42","-0.19","-0.73%","95.18K","03/08"
"El Paso Electric","EE","61.70","62.15","61.45","-0.20","-0.32%","175.83K","03/08"
"El Pollo Loco Holdings Inc","LOCO","11.40","11.40","11.00","-0.05","-0.44%","406.97K","03/08"
"Electro Scientific","ESIO","22.49","22.54","21.30","+1.06","+4.95%","1.51M","03/08"
"Electronics for Imaging","EFII","32.37","35.02","31.89","-0.39","-1.19%","552.20K","03/08"
"Emergent Biosolutions","EBS","56.61","60.00","56.43","+1.78","+3.25%","503.40K","03/08"
"Employers","EIG","44.20","45.50","43.95","-1.20","-2.64%","109.96K","03/08"
"Enanta","ENTA","99.94","102.02","98.74","-1.35","-1.33%","292.26K","03/08"
"Encore Capital","ECPG","35.55","36.60","35.50","-0.65","-1.80%","493.07K","03/08"
"Encore Wire","WIRE","51.40","52.15","50.15","-0.40","-0.77%","75.37K","03/08"
"Engility","EGL","33.840","34.595","33.660","-0.720","-2.08%","161.90K","03/08"
"Enova International Inc","ENVA","31.40","31.80","30.55","-0.20","-0.63%","369.55K","03/08"
"Enpro Industries","NPO","72.13","73.42","70.03","+2.00","+2.85%","343.61K","03/08"
"ePlus","PLUS","101.15","101.30","98.50","+1.10","+1.10%","41.40K","03/08"
"Era Group Inc","ERA","13.75","14.18","13.48","-0.33","-2.34%","39.12K","03/08"
"ESCO Technologies","ESE","61.10","62.25","60.65","-0.85","-1.37%","70.42K","03/08"
"Essendant Inc","ESND","15.91","16.43","15.78","-0.33","-2.03%","172.50K","03/08"
"Ethan Allen Interiors","ETH","22.50","22.60","22.00","+0.25","+1.12%","181.94K","03/08"
"Evercore","EVR","114.45","116.85","113.75","-0.50","-0.43%","389.22K","03/08"
"EW Scripps A","SSP","13.76","14.00","13.10","+0.74","+5.68%","596.19K","03/08"
"ExlServices","EXLS","58.18","59.44","57.54","-0.80","-1.36%","108.98K","03/08"
"Exponent","EXPO","49.40","50.43","48.85","-0.95","-1.89%","159.65K","03/08"
"Express","EXPR","9.78","9.96","9.61","+0.07","+0.72%","798.09K","03/08"
"Exterran Corp","EXTN","26.71","27.45","26.61","-0.53","-1.95%","59.53K","03/08"
"EZCORP","EZPW","11.05","11.15","10.80","+0.10","+0.91%","703.66K","03/08"
"Fabrinet","FN","39.67","39.96","39.36","+0.17","+0.43%","349.83K","03/08"
"FARO","FARO","66.70","67.60","65.85","-0.70","-1.04%","46.26K","03/08"
"Federal Signal","FSS","23.61","23.86","23.49","-0.13","-0.55%","153.84K","03/08"
"Fidelity","LION","23.82","24.45","23.74","-0.41","-1.69%","65.84K","03/08"
"Fiesta","FRGI","29.050","29.500","28.750","-0.250","-0.85%","232.65K","03/08"
"First Bancorp","FBP","8.360","8.410","8.290","-0.060","-0.71%","1.20M","03/08"
"First Commonwealth Financial","FCF","16.86","17.14","16.83","-0.24","-1.40%","228.14K","03/08"
"First Financial Bancorp","FFBC","30.60","31.13","30.55","-0.45","-1.45%","238.06K","03/08"
"First Financial Bankshares","FFIN","57.60","58.65","57.28","-0.80","-1.37%","161.41K","03/08"
"First Midwest","FMBI","26.86","27.28","26.82","-0.28","-1.03%","273.13K","03/08"
"First NBC Bank","FNBCQ","0.05","0.05","0.03","-0.00","-5.86%","5.47K","03/08"
"FirstCash","FCFS","79.35","81.10","78.65","-1.00","-1.24%","271.31K","03/08"
"Five Below","FIVE","100.120","100.570","98.400","+1.660","+1.69%","711.65K","03/08"
"Flotek","FTK","3.08","3.15","3.02","+0.07","+2.33%","369.40K","03/08"
"Forestar","FOR","22.90","23.00","22.65","+0.10","+0.44%","30.94K","03/08"
"Forrester","FORR","45.20","46.11","44.70","-1.05","-2.27%","41.12K","03/08"
"Forward Air","FWRD","62.81","63.58","62.36","-0.54","-0.85%","78.85K","03/08"
"Four Corners Property Trust Inc","FCPT","25.96","26.11","25.70","+0.19","+0.74%","2.82M","03/08"
"Fox Factory","FOXF","61.45","62.80","60.30","-0.30","-0.49%","280.93K","03/08"
"Francescass","FRAN","7.77","8.04","7.50","-0.14","-1.77%","1.07M","03/08"
"Franklin Electric","FELE","47.90","49.00","47.55","-0.75","-1.54%","122.53K","03/08"
"Franklin Street Properties","FSP","8.60","8.72","8.55","-0.02","-0.23%","74.74K","02/08"
"Freds","FRED","2.04","2.08","2.01","-0.02","-0.97%","294.91K","03/08"
"FTD Companies Inc","FTD","3.32","3.54","3.26","-0.09","-2.64%","308.97K","03/08"
"FutureFuel","FF","13.99","14.17","13.80","+0.10","+0.72%","49.36K","03/08"
"G-III Apparel","GIII","43.59","44.46","43.52","-0.16","-0.37%","271.41K","03/08"
"Gannett","GCI","10.15","10.33","10.09","-0.02","-0.20%","536.40K","03/08"
"Genesco","GCO","41.45","42.20","40.60","+0.75","+1.84%","187.90K","03/08"
"Gentherm","THRM","46.05","46.20","45.15","+0.15","+0.33%","190.18K","03/08"
"Geo","GEO","25.16","25.94","25.11","-0.02","-0.08%","548.84K","03/08"
"Geospace","GEOS","13.53","13.98","13.11","-0.41","-2.94%","101.34K","03/08"
"Getty","GTY","29.10","29.24","28.94","+0.19","+0.66%","91.73K","03/08"
"Gibraltar Industries","ROCK","43.10","43.15","42.25","-0.05","-0.12%","221.97K","03/08"
"Glacier","GBCI","43.58","44.35","43.50","-0.57","-1.29%","267.70K","03/08"
"Glatfelter","GLT","16.94","17.24","16.76","-0.15","-0.88%","330.08K","03/08"
"Government Propertiesome","GOV","15.87","15.91","15.64","+0.17","+1.08%","991.96K","03/08"
"Great Western Bancorp Inc","GWB","42.56","43.28","42.50","-0.36","-0.84%","169.74K","03/08"
"Green Dot","GDOT","79.51","81.80","79.17","-1.94","-2.38%","255.19K","03/08"
"Green Plains Energy","GPRE","17.30","17.55","17.20","-0.10","-0.57%","994.25K","03/08"
"Greenbrier","GBX","59.00","59.75","58.40","-0.45","-0.76%","525.83K","03/08"
"Greenhill&Co","GHL","32.95","33.45","31.10","+0.05","+0.15%","594.66K","03/08"
"Griffon","GFF","17.70","18.50","17.60","-0.60","-3.28%","292.29K","03/08"
"Group 1 Automotive","GPI","70.75","71.06","69.80","+0.76","+1.09%","189.82K","03/08"
"Guess?","GES","22.17","22.85","22.14","-0.36","-1.60%","470.34K","03/08"
"Gulf Island Fabrication","GIFI","8.90","9.20","8.80","-0.10","-1.11%","41.74K","03/08"
"H B Fuller","FUL","56.81","57.48","56.53","+0.15","+0.26%","232.22K","03/08"
"Haemonetics","HAE","96.71","97.60","96.26","-0.64","-0.66%","450.15K","03/08"
"Hanmi","HAFC","25.450","25.850","25.350","-0.200","-0.78%","154.65K","03/08"
"Harmonic","HLIT","5.150","5.300","5.025","-0.100","-1.90%","624.52K","03/08"
"Harsco","HSC","25.10","25.70","25.00","+0.20","+0.80%","441.98K","03/08"
"Haverty Furniture","HVT","21.10","21.25","20.75","+0.25","+1.20%","134.05K","03/08"
"Hawaiian","HA","41.15","41.60","39.80","+1.35","+3.39%","610.03K","03/08"
"Hawkins","HWKN","41.40","42.25","40.50","+0.45","+1.10%","45.72K","03/08"
"Haynes","HAYN","41.10","42.05","40.05","-0.44","-1.06%","60.94K","03/08"
"HCI Group Inc","HCI","39.23","42.89","39.02","-3.50","-8.19%","78.67K","03/08"
"Healthcare Services","HCSG","40.07","40.50","39.76","-0.32","-0.79%","387.44K","03/08"
"Healthequity Inc","HQY","78.31","81.16","77.35","-0.35","-0.45%","164.68K","03/08"
"HealthStream","HSTM","29.00","29.35","28.59","-0.10","-0.34%","105.64K","03/08"
"Heartland Express","HTLD","19.19","19.77","19.17","-0.43","-2.19%","335.17K","03/08"
"Heidrick&Struggles","HSII","41.95","42.00","40.25","+0.15","+0.36%","217.62K","03/08"
"Helix","HLX","9.29","9.62","9.27","-0.20","-2.11%","1.14M","03/08"
"HFF","HF","44.60","44.73","44.02","+0.41","+0.93%","168.65K","03/08"
"Hibbett Sports","HIBB","24.15","24.35","23.40","+0.65","+2.77%","570.55K","03/08"
"HighPoint","HPR","6.47","6.65","6.41","-0.05","-0.77%","1.02M","03/08"
"Hillenbrand","HI","52.20","52.68","51.90","0.00","0.00%","244.09K","03/08"
"HMS Holdings","HMSY","28.90","30.00","27.15","+4.04","+16.25%","2.28M","03/08"
"Home BancShares","HOMB","23.13","23.73","23.08","-0.49","-2.07%","465.37K","03/08"
"Hope Bancorp","HOPE","17.08","17.40","17.03","-0.12","-0.70%","501.28K","03/08"
"Horace Mann Educators","HMN","43.95","44.35","43.15","+0.05","+0.11%","87.30K","03/08"
"Hornbeck","HOS","4.12","4.34","4.02","-0.27","-6.15%","476.59K","03/08"
"Hub Group","HUBG","52.85","52.95","50.75","+1.80","+3.53%","604.37K","03/08"
"Iconix Brand","ICON","0.51","0.53","0.50","-0.02","-3.46%","313.02K","03/08"
"ICU Medical","ICUI","293.35","297.45","291.23","-2.45","-0.83%","177.54K","03/08"
"II-VI","IIVI","38.90","40.05","38.45","-0.20","-0.51%","926.66K","03/08"
"ILG","ILG","34.38","34.84","34.12","-0.40","-1.15%","594.36K","03/08"
"Independent Bank","INDB","88.10","89.70","88.05","-1.55","-1.73%","62.03K","03/08"
"Ingevity","NGVT","98.3300","99.8300","97.9900","-0.2400","-0.24%","200.34K","03/08"
"Innophoss","IPHS","44.36","45.03","43.90","-0.02","-0.05%","60.13K","03/08"
"Innospec","IOSP","78.10","80.15","77.85","-0.80","-1.01%","49.31K","03/08"
"Inogen Inc","INGN","211.53","212.40","205.92","-0.59","-0.28%","188.85K","03/08"
"Insight Enterprises","NSIT","52.68","53.46","49.09","+3.80","+7.77%","792.75K","03/08"
"Insperity","NSP","103.75","104.05","99.89","+1.95","+1.92%","331.86K","03/08"
"Installed Building","IBP","50.65","52.75","50.55","-1.85","-3.52%","209.65K","03/08"
"Integer Hld","ITGR","70.75","72.75","70.05","-2.10","-2.88%","348.23K","03/08"
"Integra","IART","63.37","63.61","62.42","-0.25","-0.39%","319.45K","03/08"
"Inter Parfums","IPAR","61.40","62.00","60.68","+0.25","+0.41%","94.56K","03/08"
"Interactive Brokers","IBKR","60.11","60.47","59.26","-0.17","-0.28%","599.04K","03/08"
"Interface, Inc.","TILE","22.10","22.30","21.85","-0.05","-0.23%","237.94K","03/08"
"INTL FCStone","INTL","55.34","56.73","54.83","-1.11","-1.97%","43.47K","03/08"
"Intrepid Potash","IPI","3.620","3.780","3.430","+0.360","+11.04%","2.12M","03/08"
"Invacare","IVC","18.00","18.20","17.85","+0.00","+0.00%","236.06K","03/08"
"Investment Tech","ITG","21.63","22.13","21.57","-0.43","-1.95%","135.99K","03/08"
"Iridium","IRDM","18.95","19.05","18.50","+0.30","+1.61%","1.40M","03/08"
"iRobot","IRBT","81.74","83.47","80.82","-0.28","-0.34%","649.41K","03/08"
"Itron","ITRI","59.65","61.05","59.05","-0.30","-0.50%","208.18K","03/08"
"J & J Snack Foods","JJSF","141.41","143.56","139.90","-0.41","-0.29%","129.19K","03/08"
"John Bean Tech","JBT","107.30","108.40","106.50","-0.55","-0.51%","183.61K","03/08"
"Kaiser","KALU","110.87","112.70","110.27","-0.84","-0.75%","102.13K","03/08"
"Kaman","KAMN","65.34","66.18","64.85","-0.26","-0.40%","145.57K","03/08"
"KapStone Paper&Packaging","KS","34.82","34.83","34.75","+0.05","+0.14%","353.82K","03/08"
"Kelly Services A","KELYA","24.22","24.51","24.02","-0.23","-0.94%","123.06K","03/08"
"Kirklands","KIRK","11.22","11.35","11.06","-0.03","-0.27%","48.52K","03/08"
"Kite","KRG","17.01","17.07","16.83","+0.15","+0.89%","507.13K","03/08"
"Knight Transportation","KNX","32.42","33.28","32.21","-0.85","-2.55%","3.28M","03/08"
"Kopin","KOPN","3.040","3.060","3.000","+0.010","+0.33%","311.56K","03/08"
"Koppers","KOP","37.60","38.25","37.50","-0.15","-0.40%","37.83K","03/08"
"Korn/Ferry","KFY","66.00","66.93","65.09","-0.53","-0.80%","440.59K","03/08"
"Kraton","KRA","47.81","49.04","47.65","-0.49","-1.01%","72.13K","03/08"
"Kulicke&Soffa","KLIC","26.52","26.85","26.42","-0.31","-1.16%","674.24K","03/08"
"La-Z-Boy","LZB","30.25","30.50","29.85","+0.15","+0.50%","267.06K","03/08"
"Lannett Com","LCI","13.35","13.75","12.85","+0.50","+3.89%","636.10K","03/08"
"LCI Industries","LCII","100.50","102.23","98.15","+2.75","+2.81%","289.45K","03/08"
"Legacy Texas Financial Grp","LTXB","43.45","44.58","43.44","-0.87","-1.96%","260.87K","03/08"
"Lendingtree","TREE","244.10","254.90","242.00","-6.25","-2.50%","187.64K","03/08"
"Lexington","LXP","8.84","8.85","8.76","+0.09","+1.03%","503.62K","03/08"
"LGI Homes","LGIH","50.97","52.43","50.84","-0.86","-1.66%","241.79K","03/08"
"LHC Group","LHCG","92.84","94.25","91.57","-0.74","-0.79%","465.21K","03/08"
